"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213755.3",0.8524124,0.2098909,0.4761998,0.4407624,0.659385,NA
"ENSG00000228901.3",0.1025671,-0.6265672,1.421554,-0.4407621,0.6593853,NA
"ENSG00000215912.10",13.54824,-0.1523328,0.3456857,-0.4406685,0.659453,0.9743973
"ENSG00000197429.9",381.1923,0.04869368,0.110503,0.4406548,0.6594629,0.9743973
"ENSG00000213645.2",0.1383735,-0.5251641,1.191789,-0.4406518,0.6594651,NA
"ENSG00000162976.11",544.673,-0.08608998,0.1954262,-0.4405243,0.6595574,0.9743973
"ENSG00000219435.4",0.7139892,0.3233317,0.7340227,0.4404928,0.6595802,NA
"ENSG00000205670.9",0.6555714,0.233785,0.5307363,0.4404919,0.6595809,NA
"ENSG00000181404.15",238.0144,0.08529402,0.1936354,0.4404877,0.6595839,0.9743973
"ENSG00000066697.13",617.5672,-0.06557024,0.1488782,-0.4404287,0.6596267,0.9743973
"ENSG00000230342.2",0.2904137,0.4201632,0.9540061,0.4404198,0.6596331,NA
"ENSG00000261488.1",9.608768,-0.2753731,0.625285,-0.4403962,0.6596502,0.9743973
"ENSG00000262786.1",0.4767071,-0.271392,0.6163898,-0.4402928,0.659725,NA
"ENSG00000187048.11",16021.46,0.1755884,0.3988312,0.4402575,0.6597506,0.9743973
"ENSG00000253754.1",0.3597638,-0.2431313,0.5522555,-0.4402514,0.659755,NA
"ENSG00000153446.14",19.54223,0.1739614,0.3951654,0.4402242,0.6597747,0.9743973
"ENSG00000261646.1",0.2998281,0.3494909,0.7939698,0.4401816,0.6598056,NA
"ENSG00000229676.2",12.35068,0.261207,0.5934156,0.4401755,0.65981,0.9743973
"ENSG00000091536.15",33.91392,-0.1354758,0.3077857,-0.4401629,0.6598191,0.9743973
"ENSG00000138207.11",224004.9,0.1258947,0.2860186,0.4401624,0.6598195,0.9743973
"ENSG00000105642.14",14.31917,-0.1800937,0.4092247,-0.4400852,0.6598754,0.9743973
"ENSG00000257524.4",19.69886,0.1063005,0.2415592,0.4400598,0.6598938,0.9743973
"ENSG00000148965.7",4669.625,0.184528,0.4193249,0.4400597,0.6598938,0.9743973
"ENSG00000240125.1",1.289438,0.1699262,0.3861574,0.4400439,0.6599053,NA
"ENSG00000181104.6",1085.3,-0.1112037,0.2527676,-0.4399444,0.6599774,0.9743973
"ENSG00000189043.8",10511.47,-0.08099845,0.1841273,-0.4399046,0.6600062,0.9743973
"ENSG00000090273.12",5939.746,0.06720595,0.1527982,0.4398347,0.6600568,0.9743973
"ENSG00000272432.1",5.873873,-0.1234596,0.2807036,-0.4398221,0.6600659,0.9743973
"ENSG00000253942.1",0.1619158,-0.447577,1.017686,-0.4397985,0.660083,NA
"ENSG00000274642.1",2.411968,-0.2292293,0.5212444,-0.4397732,0.6601014,0.9743973
"ENSG00000255128.1",0.2492481,0.3991633,0.9076815,0.4397614,0.6601099,NA
"ENSG00000100522.7",1874.487,-0.07935309,0.1804461,-0.4397605,0.6601106,0.9743973
"ENSG00000183891.5",303.9793,0.0795229,0.1808426,0.4397354,0.6601288,0.9743973
"ENSG00000233998.1",0.3636349,-0.274756,0.6248398,-0.4397223,0.6601382,NA
"ENSG00000174599.5",45.28659,-0.2120399,0.4822134,-0.4397222,0.6601383,0.9743973
"ENSG00000144736.12",485.6435,0.04707339,0.1070527,0.4397219,0.6601385,0.9743973
"ENSG00000254001.4",0.2462462,-0.5829391,1.325756,-0.4397032,0.6601521,NA
"ENSG00000280388.1",5.648531,-0.1167054,0.2654343,-0.4396773,0.6601709,0.9743973
"ENSG00000228232.1",562.4802,-0.2007175,0.4565325,-0.4396565,0.6601859,0.9743973
"ENSG00000276269.1",5.739187,0.4587078,1.04334,0.4396533,0.6601882,0.9743973
"ENSG00000118564.13",3344.371,0.06717668,0.1528031,0.439629,0.6602058,0.9743973
"ENSG00000205832.7",10.77096,0.153101,0.3482545,0.4396238,0.6602096,0.9743973
"ENSG00000278543.1",0.1820111,-0.5202383,1.183489,-0.4395802,0.6602412,NA
"ENSG00000185631.7",0.4163116,0.3496359,0.7954187,0.4395621,0.6602543,NA
"ENSG00000253116.1",0.5212979,-0.281333,0.6402521,-0.4394098,0.6603646,NA
"ENSG00000244061.1",0.3973209,-0.3094709,0.7043,-0.4394021,0.6603702,NA
"ENSG00000213892.9",3.283403,0.2006419,0.4566299,0.4393972,0.6603737,0.974503
"ENSG00000269487.1",0.8464405,-0.2170879,0.4940628,-0.4393933,0.6603766,NA
"ENSG00000279179.1",6.282928,0.09313317,0.2119609,0.4393883,0.6603802,0.974503
"ENSG00000007174.16",2.88328,0.1840431,0.4188809,0.4393686,0.6603945,0.974503
